Sentence,Category
ทุกคนต่างมีความหวังในฝันของตัวเอง,pos
ดอกไม้งดงามพอให้ชื่นชม,pos
รอยยิ้มที่แสนสดใส (มีเธออยู่เต็มหัวใจ),pos
วันนั้นเคยมีความสุขเท่าไร ทุกนาทีที่เคยมีเธอ,pos
เมื่อความรักที่มีนั้นต้องจบ,neg
ฉากแห่งความสุขจะนานแค่ไหนยังคงอยู่,pos
ฟ้าครามสดใส หัวใจที่งดงาม,pos
ภาพความรัก เปลี่ยนชีวิตเราให้แสนเบิกบาน,pos
เมื่อเธอยิ้มโลกช่างสวยงาม,pos
ขอเพียงขอบคุณทุกวันที่แสนดี ที่ฉันมีเธอ,pos
รู้และได้เข้าใจ (ได้รักเอง รู้เอง),pos
ขอเพียงขอบคุณทุกวันที่แสนดีที่ฉันมี,pos
ฟ้าครามสดใส หัวใจที่งดงาม จดจำไว้,pos
มันช่างไร้สาระขนาดไหน,neg
เธอบอกให้ฉันได้รับรู้ ด้วยการสวมกอด,pos
ทุกอย่างที่เธอทำ คืนรอยยิ้มให้กับฉัน,pos
อยากดูแลใกล้ใกล้เธอในทุกวัน,pos
ดูแลตัวเองดีดีนะ,pos
คนทางนี้ยังคิดถึงกัน,pos
ไม่ต้องห่วง,pos
ฉันดูแลตัวเองอย่างดี,pos
ทำให้เติบโตเรียนรู้เข้าใจได้มากกว่า,pos
การเดินทางของฉันและเธอคือการเรียนรู้,pos
การเรียนรู้ของเราสองคนคือความเข้าใจ,pos
เธอเข้าใจและฉันเข้าใจก็ทำให้เรามั่นใจ,pos
สิ่งที่เราเรียนรู้ส่งเสริมต่อการก้าวเดิน,pos
กับทางที่โรยเอาไว้ด้วยขวากหนาม,neg
ถูกแหลมคม ทิ่มแทง,neg
จนมันแทบจะทนไม่ไหว,neg
ยังยืนยันจะไม่ถอดใจ,pos
ฉันยังคงก้าวไป,pos
เก็บทุกความผิดพลั้งเป็นคำเตือนให้เราเข้าใจ,pos
ขอเพียงใจเราเท่านั้นไม่หวั่นไหว,pos
บทชีวิตของเรา เราจะทำให้มีความหมาย,pos
เส้นทางนี้ ฉันยังมีจุดหมาย,pos
ความเดียวดายในคืนเหน็บหนาว,neg
เตือนคืนวันให้ใจดวงนี้ไม่ยอมแพ้,pos
ในค่ำคืนที่ฟ้าท้าทายใจคนอยู่ตรงนี้ และฉันยังคงก้าวไป,pos
เปลี่ยนคืนวันที่มีให้มีความหมาย,pos
ออกไปผ่านเจอเรื่องราวใหม่,pos
ช่วงเวลาของเราที่ยิ่งใหญ่,pos
เราอาจเจอกับทางที่งดงาม,pos
หรือเราอาจเจอแต่เพียงความว่างเปล่า,neg
วันที่อ่อนไหว วันที่ปวดร้าว,neg
โอ้ ไม่เป็นไรเธอ เธอไม่เป็นไร,pos
ใจหนอใจคน คงต้องหม่นหมอง,neg
สุขที่เคยครอง ไม่ได้เป็นดังใจ,neg
คนต้องผิดหวัง ใครเคยบอกไว้,neg
คนต้องมีวันเศร้าใจ เป็นเรื่องธรรมดา,neg
ใจหนอใจเหนื่อย เหนื่อยไม่ต่างกัน,neg
เจ็บสักเพียงไหน,neg
โอ้ ไม่เป็นไรหนา เธอไม่เป็นไร,pos
แต่ไม่อยากให้เธอหยุดยั้ง,pos
จงหยัดยืนต่อไป,pos
ความทุกข์ร่ำไร ไม่เคยร่ำลา,neg
ขอเป็นกำลังใจ,pos
ปลดปล่อยมันทิ้งไป,pos
จงหยัดยืนเอาไว้,pos
ใจหนอใจเอย อาจเคยพ่ายแพ้,neg
หากโลกรังแก แม้ไม่เหลือใคร,neg
เธอยังมีฉัน กอดใจเอาไว้,pos
กอดไว้ กอดไว้,pos
ฟ้าก็คงสว่างและทำให้เราได้เข้าใจ,pos
ว่ามันคุ้มค่าแค่ไหนที่เฝ้ารอ,pos
เมื่อยามสุขล้นจนใจมันยั้งไม่อยู่,pos
คงเป็นฤดูที่แสนสดใส,pos
แต่ถ้าวันหนึ่งวันใดที่ใจเจ็บทนทุกข์,neg
บอกกับตัวเองเอาไว้ความเจ็บต้องมีวันหาย,pos
ว่ามันคุ้มค่าแค่ไหนที่เฝ้ารอ,pos
เมื่อวันที่ต้องเจ็บช้ำใจ,neg
จากความผิดหวังจนใจมันรับไม่ทัน,neg
เป็นธรรมดาที่เราต้องไหวหวั่น,neg
และถ้าวันหนึ่งวันไหนที่ใจเจ็บทนทุกข์,neg
อย่าไปกลัวเวลาที่ฟ้าไม่เป็นใจ,pos
อย่าไปคิดว่ามันเป็นวันสุดท้าย,pos
น้ำตาที่ไหลย่อมมีวันจางหาย,pos
หากไม่รู้จักเจ็บปวด,neg
ก็คงไม่ซึ้งถึงความสุขใจ,pos

